Symbol,Sector,Current Price,Market Cap,Stock P/E,PEG Ratio,ROCE,ROE,High,Low,Data Source
TRENT,Retail,4389.0,156049.0,92.2,,28.6,27.2,4417.8,4352.1,Screener+NSE
ALKEM,Pharma,5700.0,68043.0,30.4,,19.5,19.9,5750,5673,Screener+NSE
SRF,Chemicals,2852.0,84478.0,54.4,,13.7,11.5,2876,2791.1,Screener+NSE
PIRAMALFN,NBFC,,,,,,,,,Screener+NSE
MUTHOOTFIN,NBFC,3700.5,,24.24,,,,3726.3,3692.6,Screener+NSE
NYKAA,E-commerce,269.0,76931.0,1197.0,,6.25,6.1,270.85,267.46,Screener+NSE
PIDILITIND,Chemicals,1489.0,151738.0,68.0,,30.5,23.2,1494.9,1477.1,Screener+NSE
ENRIN,Power T&D,3346.0,119206.0,227.0,,,,3388.1,3315,Screener+NSE
CDSL,Exchanges,1640.0,34278.0,73.7,,46.5,36.3,1673.7,1625,Screener+NSE
SBIN,Financials,982.0,906308.0,12.7,,6.37,17.3,986.6,979.35,Screener+NSE
BHARTIARTL,Telecom,2158.0,1293664.0,53.4,,8.18,11.4,2169.3,2149.9,Screener+NSE
TATAMOTORS,Automobiles,,,,,,,,,Screener+NSE
ADANIENT,Infrastructure,2446.0,316437.0,137.0,,12.9,12.1,2478.9,2440.4,Screener+NSE
ICICIBANK,Financials,1383.0,988482.0,20.0,,7.61,17.8,1388.3,1375.4,Screener+NSE
RELIANCE,Conglomerate,1549.0,2096660.0,53.6,,7.57,6.61,1550.9,1526.7,Screener+NSE
HDFCBANK,Financials,1009.0,1551511.0,21.8,,7.35,14.3,1011.6,992.45,Screener+NSE
BAJFINANCE,NBFC,1029.0,640076.0,39.9,,11.5,18.5,1031.7,1007.3,Screener+NSE
LTIM,Technology,6027.0,178583.0,37.2,,27.6,21.6,6091.0,5959.0,Screener+NSE
ADANIPORTS,Infrastructure,1491.0,322207.0,156.0,,8.85,9.73,1505.0,1487.6,Screener+NSE
BSE,Exchanges,2896.0,117764.0,70.6,,47.5,35.8,2960.0,2887.5,Screener+NSE
MCX,Commodity Exchange,9858.0,50286.0,93.6,,31.9,23.9,9975.0,9810.0,Screener+NSE
COFORGE,Technology,1846.0,61820.0,88.3,,13.9,11.3,1888.0,1840.5,Screener+NSE
TRENT,Retail,4389.0,156049.0,92.2,,28.6,27.2,4417.8,4352.1,Screener+NSE
MPHASIS,Technology,2740.0,52199.0,36.3,,33.7,25.2,2758.9,2702.9,Screener+NSE
SRF,Chemicals,2852.0,84478.0,54.4,,13.7,11.5,2876.0,2791.1,Screener+NSE
ALKEM,Pharma,5700.0,68043.0,30.4,,19.5,19.9,5750.0,5673.0,Screener+NSE
PIRAMALFN,NBFC,,,,,,,,,Screener+NSE
PIDILITIND,Chemicals,1489.0,151738.0,68.0,,30.5,23.2,1494.9,1477.1,Screener+NSE
NYKAA,E-commerce,269.0,76931.0,1197.0,,6.25,6.1,270.85,267.46,Screener+NSE
MUTHOOTFIN,NBFC,3698.0,148533.0,20.4,,13.4,19.7,3726.3,3692.6,Screener+NSE
CDSL,Exchanges,1640.0,34278.0,73.7,,46.5,36.3,1673.7,1625.0,Screener+NSE
SBIN,Financials,982.0,906308.0,12.7,,6.37,17.3,986.6,979.35,Screener+NSE
BHARTIARTL,Telecom,2158.0,1293664.0,53.4,,8.18,11.4,2169.3,2149.9,Screener+NSE
TMPV,Automobiles,360.0,132472.0,20.0,,20.3,17.9,364.4,359.25,Screener+NSE
ADANIENT,Infrastructure,2446.0,316437.0,137.0,,12.9,12.1,2478.9,2440.4,Screener+NSE
ICICIBANK,Financials,1383.0,988482.0,20.0,,7.61,17.8,1388.3,1375.4,Screener+NSE
RELIANCE,Conglomerate,1549.0,2096660.0,53.6,,7.57,6.61,1550.9,1526.7,Screener+NSE
HDFCBANK,Financials,1009.0,1551511.0,21.8,,7.35,14.3,1011.6,992.45,Screener+NSE
LTIM,Technology,6027.0,178583.0,37.2,,27.6,21.6,6091.0,5959.0,Screener+NSE
BAJFINANCE,NBFC,1029.0,640076.0,39.9,,11.5,18.5,1031.7,1007.3,Screener+NSE
ADANIPORTS,Infrastructure,1491.0,322207.0,156.0,,8.85,9.73,1505.0,1487.6,Screener+NSE
BSE,Exchanges,2896.0,117764.0,70.6,,47.5,35.8,2960.0,2887.5,Screener+NSE
MCX,Commodity Exchange,9858.0,50286.0,93.6,,31.9,23.9,9975.0,9810.0,Screener+NSE
COFORGE,Technology,1846.0,61820.0,88.3,,13.9,11.3,1888.0,1840.5,Screener+NSE
MPHASIS,Technology,2740.0,52199.0,36.3,,33.7,25.2,2758.9,2702.9,Screener+NSE
TRENT,Retail,4398.0,,101.42,,,,4417.8,4352.1,Screener+NSE
PIRAMALFIN,NBFC,1676.0,37992.0,64.3,,7.83,2.73,1680.7,1535.6,Screener+NSE
